epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.341,1.3855,2.59449,1.42916,0.61471,0.63889,0.65256,0.4849,0.72274,6.4377,1.09286,0.00014,0.00014,0.00014
2,630.057,1.31098,2.07409,1.38104,0.50591,0.59746,0.50073,0.34153,1.06086,3.21148,1.24871,0.00029406,0.00029406,0.00029406
3,955.118,1.3192,2.078,1.33354,0.45982,0.59126,0.52036,0.36224,1.11316,2.94426,1.21845,0.000441784,0.000441784,0.000441784
4,1305.19,1.28306,1.98466,1.30233,0.78696,0.47222,0.60345,0.44745,0.95022,2.29356,1.12169,0.000583172,0.000583172,0.000583172
5,1643.01,1.25417,1.70357,1.24671,0.52614,0.55556,0.56778,0.36524,1.12223,2.93913,1.30624,0.000718224,0.000718224,0.000718224
6,1969.79,1.40364,1.77006,1.37739,0.56401,0.5,0.44009,0.23901,1.40704,3.63006,1.52227,0.00084694,0.00084694,0.00084694
7,2269.57,1.29339,1.74232,1.3444,0.56118,0.46202,0.41352,0.29674,1.72375,3.1309,1.73436,0.00096932,0.00096932,0.00096932
8,2578.99,1.41839,1.86152,1.38818,0.56375,0.27778,0.35554,0.23576,1.55749,3.35576,1.59896,0.00108536,0.00108536,0.00108536
9,2884.54,1.38177,1.60379,1.33291,0.36503,0.25,0.24033,0.13526,1.85765,4.57181,1.95306,0.00119507,0.00119507,0.00119507
10,3186.87,1.49811,1.80834,1.49013,0.10779,0.19444,0.10877,0.06815,1.73166,8.70397,1.83808,0.00129844,0.00129844,0.00129844
11,3557.43,1.57408,1.6947,1.53126,0.22555,0.44444,0.24047,0.13184,1.81784,4.79527,1.86263,0.00139548,0.00139548,0.00139548
12,4102.95,1.55314,1.71311,1.56336,0.237,0.47222,0.26318,0.14173,1.71799,5.3686,1.96768,0.00148618,0.00148618,0.00148618
13,4618.55,1.45482,1.71124,1.48896,0.09689,0.19444,0.1171,0.06811,1.76575,13.1214,1.92515,0.0015248,0.0015248,0.0015248
14,4947.45,1.56537,1.82611,1.59067,0.13708,0.13889,0.07727,0.05599,2.30841,13.859,2.60564,0.0014852,0.0014852,0.0014852
15,5256.64,1.45775,1.64721,1.47687,0.30062,0.22222,0.17459,0.10153,2.40764,14.6656,2.69415,0.0014456,0.0014456,0.0014456
16,5562.6,1.50013,1.62304,1.46664,0.32224,0.30556,0.25716,0.14449,2.24589,9.08417,2.62164,0.001406,0.001406,0.001406
17,5886.32,1.55391,1.55863,1.50476,0.40484,0.36111,0.27784,0.18084,2.16273,6.73762,2.28509,0.0013664,0.0013664,0.0013664
18,6226.45,1.46525,1.56926,1.46923,0.36803,0.25,0.23793,0.13283,2.31429,6.76641,2.51571,0.0013268,0.0013268,0.0013268
